element,name,pos,club,gw_points,played,price,multiplier,rival_avg_mult,my_mult,net
497,Dubravka,GKP,TOT,0,True,4.0,0,0.0,0.0,0.0
539,O'Nien,DEF,SUN,0,False,4.0,0,0.0,0.0,0.0
489,Yates,MID,NFO,0,True,4.5,0,0.0,0.0,0.0
469,N.Williams,DEF,NFO,6,True,5.0,0,0.0,0.0,0.0
466,Neave,FWD,NEW,0,True,4.5,0,0.0,0.0,0.0
499,Pedro Porro,DEF,TOT,1,True,5.5,0,0.0,0.0,0.0
272,Kusi-Asare,FWD,FUL,0,False,4.5,0,0.0,0.0,0.0
586,Mendy,DEF,HUL,1,True,4.0,0,0.0,0.0,0.0
212,Hughes,MID,CRY,0,True,4.5,0,0.0,0.0,0.0
111,Steele,GKP,BHA,0,False,4.0,0,0.0,0.0,0.0
113,F.Kadıoğlu,DEF,BHA,0,False,4.5,0,0.0,0.0,0.0
127,Gomez,MID,BHA,0,False,5.0,0,0.0,0.0,0.0
155,Enzo,MID,CHE,0,False,7.0,0,0.0,0.0,0.0
171,Dovin,GKP,COV,0,True,4.0,0,0.0,0.0,0.0
175,van Ewijk,DEF,COV,2,True,4.0,0,0.0,0.0,0.0
208,Sarr,MID,CRY,0,True,6.5,0,0.0,0.0,0.0
95,O.Dango,MID,BRE,0,False,6.5,0,0.0,0.0,0.0
58,Forster,GKP,BOU,0,True,4.0,0,0.0,0.0,0.0
32,Cash,DEF,AVL,0,False,4.5,0,0.0,0.0,0.0
250,Leno,GKP,FUL,0,False,4.5,0,0.0,0.0,0.0
107,Furo,FWD,BRE,0,False,4.5,0,0.0,0.0,0.0
259,Diop,DEF,IPS,0,False,4.0,0,0.0,0.0,0.0
580,Charles,MID,FUL,0,False,5.0,0,0.0,0.0,0.0
273,Phillips,GKP,HUL,0,True,4.0,0,0.0,0.0,0.0
280,Coyle,DEF,HUL,0,True,4.0,0,0.0,0.0,0.0
289,Crooks,MID,HUL,0,True,4.5,0,0.0,0.0,0.0
290,Slater,MID,HUL,2,True,4.5,0,0.0,0.0,0.0
301,Palmer,GKP,IPS,0,False,4.0,0,0.0,0.0,0.0
304,O'Shea,DEF,IPS,0,False,4.0,0,0.0,0.0,0.0
305,Davis,DEF,IPS,0,False,4.0,0,0.0,0.0,0.0
306,Greaves,DEF,IPS,0,False,4.0,0,0.0,0.0,0.0
321,Walle Egeli,FWD,IPS,0,False,4.5,0,0.0,0.0,0.0
329,Rodon,DEF,LEE,0,False,4.5,0,0.0,0.0,0.0
270,Reed,MID,FUL,0,False,4.5,0,0.0,0.0,0.0
102,Yarmoliuk,MID,BRE,0,False,5.0,0,0.0,0.0,0.0
165,João Pedro,FWD,CHE,0,False,7.5,17,0.8095238095238095,1.0,0.19047619047619047
8,Calafiori,DEF,ARS,0,False,5.5,13,0.6190476190476191,1.0,0.38095238095238093
368,Szoboszlai,MID,LIV,4,True,7.0,8,0.38095238095238093,1.0,0.6190476190476191
1,Raya,GKP,ARS,0,False,6.0,6,0.2857142857142857,1.0,0.7142857142857143
411,Haaland,FWD,MCI,13,True,15.5,26,1.2380952380952381,2.0,0.7619047619047619
237,Ndiaye,MID,EVE,4,True,6.0,4,0.19047619047619047,1.0,0.8095238095238095
356,Virgil,DEF,LIV,1,True,6.5,3,0.14285714285714285,1.0,0.8571428571428572
542,E.Le Fée,MID,SUN,0,False,6.0,2,0.09523809523809523,1.0,0.9047619047619048
229,Tarkowski,DEF,EVE,12,True,6.0,1,0.047619047619047616,1.0,0.9523809523809523
106,Thiago,FWD,BRE,0,False,8.0,0,0.0,1.0,1.0
